,Agapostemon_texanus,Andrena_algida,Andrena_birtwelli,Andrena_buckelli,Andrena_candida,Andrena_columbiana,Andrena_costillensis,Andrena_cyanophila,Andrena_macoupinensis,Andrena_mariae,Andrena_medionitens,Andrena_salicifloris,Andrena_thaspii,Andrena_transnigra,Andrena_w_scripta,Anthophora_terminalis,Anthophora_ursina,Atoposmia_abjecta,Atoposmia_elongata,Calliopsis_coloradensis,Calliopsis_teucrii,Ceratina_nanula,Ceratina_neomexicana,Coelioxys_moesta,Coelioxys_sodalis,Colletes_consors,Colletes_hyalinus,Colletes_kincaidii,Colletes_nigrifrons,Colletes_paniscus,Diadasia_diminuta,Dianthidium_heterulkei,Dufourea_fimbriata,Dufourea_harveyi,Dufourea_maura,Epeolus_americanus,Epeolus_compactus,Eucera_fulvitarsis,Halictus_confusus,Halictus_rubicundus,Halictus_tripartitus,Halictus_virgatellus,Hoplitis_albifrons,Hoplitis_fulgida,Hoplitis_fulgida_fulgida,Hoplitis_robusta,Hylaeus_annulatus,Hylaeus_basalis,Hylaeus_modestus,Hylaeus_personatellus,Hylaeus_rudbeckiae,Hylaeus_verticalis,Lasioglossum_abundipunctum,Lasioglossum_ebmerellum,Lasioglossum_ephialtum,Lasioglossum_granosum,Lasioglossum_inconditum,Lasioglossum_knereri,Lasioglossum_nigrum,Lasioglossum_obnubilum,Lasioglossum_occidentale,Lasioglossum_pacatum,Lasioglossum_pavoninum,Lasioglossum_prasinogaster,Lasioglossum_regis,Lasioglossum_ruidosense,Lasioglossum_sandhousiellum,Lasioglossum_sedi,Lasioglossum_semicaeruleum,Lasioglossum_tenax,Lasioglossum_trizonatum,Megachile_frigida,Megachile_gemula,Megachile_inermis,Megachile_latimanus,Megachile_melanophaea,Megachile_montivaga,Megachile_perihirta,Megachile_pugnata,Megachile_relativa,Megachile_subexilis,Melissodes_confusus,Melissodes_coreopsis,Melissodes_grindeliae,Melissodes_hymenoxidis,Melissodes_tristis,Osmia_albolateralis,Osmia_austromaritima,Osmia_brevis,Osmia_bruneri,Osmia_bucephala,Osmia_calla,Osmia_coloradensis,Osmia_cyanopoda,Osmia_ednae,Osmia_giliarum,Osmia_grindeliae,Osmia_hirsuta,Osmia_inermis,Osmia_iridis,Osmia_lignaria,Osmia_longula,Osmia_mertensiae,Osmia_montana_montana,Osmia_nigrifrons,Osmia_nigriventris,Osmia_paradisica,Osmia_pentstemonis,Osmia_phaceliae,Osmia_proxima,Osmia_pusilla,Osmia_sculleni,Osmia_sericea,Osmia_simillima,Osmia_subaustralis,Osmia_tersula,Osmia_thysanisca,Osmia_torchioi,Osmia_trevoris,Osmia_tristella,Panurginus_cressoniellus,Panurginus_ineptus,Pseudopanurgus_bakeri,Pseudopanurgus_didirupa,Stelis_foederalis,Stelis_subemarginata
BlockA_2009,0,0.062589355,0,0,0,0.124476926,0,0,0,0.191267625,0,0,0,0,0,0,0,0,0,0,0.064690027,0,0,0,0,0,0,0,0,0,0,0,0,0.5675149,0.129380054,0,0,0,0,0.189169293,0,2.608321849,0,0,0,0.18706394,1.39095937,0.123775142,0,0,0,0,0.063288798,0,0,0,0.822061963,0,0.850210314,0.064690027,0,0,0,0,0,0.663139352,0,5.360443429,0,0.279195854,0,0,0,0,0,0,0,0,0,0,0.030943785,0,0,0,0.030943785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.65632906,0.410681259,0.319948235,0.064690027,0,0
BlockA_2010,0,0,0,0,0,0.053073861,0.110124737,0,0,0.026536931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.312211696,0.026536931,0,0,0,0,0.108346424,0,1.055651386,0,0,0,0.25254173,0.365705946,0.057050875,0,0,0,0,0,0,0,0,0.028735632,0,0.171573015,0,0,0,0,0.028735632,0,0.280436583,0.026536931,1.68584486,0,0.057050875,0,0.026536931,0,0,0,0,0,0,0,0.028735632,0.055272563,0,0.026536931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026536931,0,0,0,0,0,0.028735632,0,0,0,0,0,0,0,0,0,0,5.27301875,1.250818608,0.569206584,0.265369306,0,0
BlockA_2011,0,0.026143791,0,0,0,0.026109661,0.078328982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026052974,0,0,0,0,0,0,0,0.026109661,0,0,0,0,0,0.495925067,0.052196765,0.808867931,0,0.130264872,0,0.182722513,0.521683035,0.026109661,0,0,0,0,0.026109661,0,0,0,2.428896762,0,2.32315256,0,0,0.130684824,0,0,0,1.227507517,0.156669538,7.284689362,0,0.418028204,0.052219321,0,0.026109661,0,0,0.052196765,0.026052974,0,0,0,0,0.026143791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026052974,0,0,0,0.026052974,0,0,0.026109661,0,0,0,0,0,0,2.298292367,0.78360975,0.391361478,0.078328982,0,0
BlockA_2012,0,0.519258383,0.050122031,0.026064292,0,0,0.047454666,0.195153394,0,0,0,0,0,0.176430384,0.024057739,0,0,0,0,0,0.021390374,0,0,0,0.021390374,0,0,0,0.348186848,0,0,0.021390374,0.469136353,0.096230954,0.052128584,0.048115477,0.021390374,0,0,0.922265301,0,4.400736475,0,0.22322424,0,0.604844001,0.979067803,0.212530661,0,0,0,0,0.09290278,0,0.024057739,0,1.777695334,0,4.937368907,0.024057739,0,0,0,0.050122031,0,1.399485766,0,10.06241338,0,1.126772968,0.066838488,0,0.024057739,0.047454666,0,0.122295246,0.076186323,0.180443491,0.050122031,0.068845041,0,0,0,0,0,0,0.209863297,0.024057739,0,0,0.814707299,0,0.024057739,0.024057739,0.024057739,0.026064292,0.024057739,0,0.024057739,0,0.024057739,0.073518958,0.09356359,0,0,0,0.026064292,0,0,0.189133734,0.021390374,0,0.050122031,0.278020186,0.137690081,0,0.024057739,0,0.026064292,0.024057739,7.853770391,1.888584732,0.376945845,0.131009611,0.048115477,0.050122031
BlockA_2013,0,0.032733224,0.032733224,0,0,0,0.034266134,0,0,0.063565701,0,0,0,0,0,0,0,0,0,0,0.034266134,0,0,0,0,0,0,0,0,0,0.034266134,0,0,0.094398178,0,0,0,0.030832477,0,0.092497431,0,0.290061848,0,0,0,0.065466448,0.257328623,0.030832477,0,0,0,0.030832477,0.068532267,0,0,0,0.261130118,0,0.192597851,0,0,0,0,0,0,0.164831192,0.12903215,1.553178072,0,0.099732582,0,0,0,0,0,0,0,0,0,0,0.066999358,0,0,0,0,0,0.034266134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034266134,0,0,0,0.034266134,0,0,0,0,0,0,0,0.032733224,0,0,0,0,0.034266134,0,3.593892713,0.261130118,0.065098611,0.068532267,0,0
BlockA_2014,0,0.201680672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034090909,0,0,0.033613445,0,0,0.033613445,0.034052213,0,0,0,0.068181818,0.033613445,0.068104427,0.068181818,0,0,0,0,0,0,0.950984149,0,0.135331318,0,0.2381589,0.372974058,0.136247549,0.033613445,0,0,0,0.102272727,0,0,0,1.250395086,0,0.40694888,0,0,0,0,0,0,0.440678412,0.270262563,7.994754185,0,0.067704354,0,0,0,0,0,0.034052213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033613445,0,0,0,0,0,0,0,0,0,0,0.033613445,0,0,0,0,0,0,0,0.1013178,0,0,0,0,0,0,5.093490539,0.608306871,0.33896054,0.034090909,0,0
BlockA_2015,0,0.075353218,0,0,0,0.057283678,0.056657224,0,0,0,0,0.018885741,0,0.018838305,0,0,0,0,0,0.018838305,0,0,0,0.018838305,0,0,0,0,0.037771483,0,0,0,0.018885741,0.321883579,0.018885741,0,0,0,0,0.588163319,0,0.975000108,0,0.018885741,0.018885741,0.113893465,0.075495529,0.076169419,0,0,0,0,0.169876798,0,0,0,0.551929364,0,0.744602713,0.113893465,0.018885741,0.056609788,0.018885741,0,0,1.065271045,0.188857413,5.23990022,0,0.037724046,0,0,0,0,0,0.018885741,0,0,0,0.018885741,0.056657224,0.094428706,0,0,0.037771483,0,0.018885741,0,0,0,0.057236241,0,0.018838305,0,0,0,0,0,0,0.018885741,0,0,0,0,0,0,0,0,0.057188804,0.056514914,0,0,0,0,0.018838305,0,0,0,0,0,1.747939835,0.531553531,0.793542966,0.491513417,0,0
BlockA_2016,0,0.045061561,0,0,0,0.065658122,0.064377682,0,0.022099448,0,0,0,0,0,0,0.065658122,0,0,0,0,0.022099448,0,0,0,0,0,0,0,0,0,0,0,0.021459227,0.067161008,0,0,0,0,0,0.372516623,0,0.938333445,0,0.090985786,0,0.128755365,0.133681795,0.044198895,0,0.021459227,0,0,0,0,0,0,0.223164695,0,2.091481611,0.044198895,0,0,0,0,0,0.175737585,0,2.231008854,0.04442134,0.131956465,0.04442134,0.066520788,0,0.022962113,0,0,0,0,0,0,0,0.021459227,0,0,0,0.021459227,0.042918455,0,0,0,0.043558675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068886338,0.043558675,0.022962113,0.065880568,0,0,0,0.021459227,0,0.045061561,0,0,0,0.021459227,4.094126067,0.156421463,0.373156843,0.17231404,0,0
BlockB_2009,0,0,0,0,0,0,0,0,0,0.04076087,0,0,0,0.044477391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326086957,0,0,0,0,0,0.093676815,0,1.033735094,0,0,0.088954781,0.046838407,0.225753483,0.04076087,0,0,0,0,0,0,0,0,0.289042608,0,0.046838407,0,0,0,0,0,0,0.184992613,0,2.400945653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.788527097,0.966882177,0.794044639,0.122282609,0,0
BlockB_2010,0,0.02559727,0.027535567,0,0,0.10715847,0.02559727,0,0,0.051194539,0,0.02559727,0,0.027535567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157460212,0,0,0,0,0,0,0,1.365089851,0,0.026490066,0.026490066,0.239761504,0.585483274,0.077684605,0,0.02559727,0,0,0.051194539,0,0,0,0.365504148,0,0.743836282,0,0,0,0.179180887,0,0,0.636983221,0,3.303422393,0.051194539,0.161336806,0,0,0,0,0,0.02559727,0.027535567,0,0,0,0.052087336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026490066,0,0,0,0,0,0,0,0.712424122,1.236645391,0.490812106,0.051194539,0,0
