,Emergence_day
Agapostemon_texanus,35
Andrena_algida,20.37
Andrena_birtwelli,51.87
Andrena_buckelli,49
Andrena_candida,70
Andrena_columbiana,66.28
Andrena_costillensis,92.83
Andrena_cyanophila,21
Andrena_macoupinensis,43.5
Andrena_mariae,39
Andrena_medionitens,38
Andrena_salicifloris,36.8
Andrena_thaspii,56
Andrena_transnigra,29.66
Andrena_w_scripta,8
Anthophora_terminalis,53.33
Anthophora_ursina,20
Atoposmia_abjecta,56
Atoposmia_elongata,70
Calliopsis_coloradensis,113
Calliopsis_teucrii,72
Ceratina_nanula,10
Ceratina_neomexicana,21
Coelioxys_moesta,84
Coelioxys_sodalis,45
Colletes_consors,36.5
Colletes_hyalinus,64
Colletes_kincaidii,74
Colletes_nigrifrons,44.6
Colletes_paniscus,43.5
Diadasia_diminuta,41
Dianthidium_heterulkei,75.5
Dufourea_fimbriata,84
Dufourea_harveyi,57.75
Dufourea_maura,58.66
Epeolus_americanus,49
Epeolus_compactus,77
Eucera_fulvitarsis,20
Halictus_confusus,58
Halictus_rubicundus,23
Halictus_tripartitus,10
Halictus_virgatellus,16.875
Hoplitis_albifrons,44.5
Hoplitis_fulgida,36.83
Hoplitis_fulgida_fulgida,50
Hoplitis_robusta,42.5
Hylaeus_annulatus,60.285
Hylaeus_basalis,43.14285714
Hylaeus_modestus,50
Hylaeus_personatellus,78.75
Hylaeus_rudbeckiae,67.5
Hylaeus_verticalis,53.75
Lasioglossum_abundipunctum,26.85
Lasioglossum_ebmerellum,41
Lasioglossum_ephialtum,77
Lasioglossum_granosum,8
Lasioglossum_inconditum,16.625
Lasioglossum_knereri,103.5
Lasioglossum_nigrum,16.625
Lasioglossum_obnubilum,32.4
Lasioglossum_occidentale,113
Lasioglossum_pacatum,20
Lasioglossum_pavoninum,23.571
Lasioglossum_prasinogaster,42.5
Lasioglossum_regis,50
Lasioglossum_ruidosense,16.75
Lasioglossum_sandhousiellum,58.33
Lasioglossum_sedi,16.625
Lasioglossum_semicaeruleum,74.8
Lasioglossum_tenax,18.625
Lasioglossum_trizonatum,36.16
Megachile_frigida,78
Megachile_gemula,41.5
Megachile_inermis,64.66
Megachile_latimanus,80
Megachile_melanophaea,55.16
Megachile_montivaga,58.2
Megachile_perihirta,70.33
Megachile_pugnata,60.66
Megachile_relativa,59.5
Megachile_subexilis,54
Melissodes_confusus,89.75
Melissodes_coreopsis,108
Melissodes_grindeliae,114
Melissodes_hymenoxidis,105
Melissodes_tristis,106.5
Osmia_albolateralis,23.16
Osmia_austromaritima,10
Osmia_brevis,14
Osmia_bruneri,5
Osmia_bucephala,24.2
Osmia_calla,22
Osmia_coloradensis,25.75
Osmia_cyanopoda,70.5
Osmia_ednae,29.2
Osmia_giliarum,37
Osmia_grindeliae,26
Osmia_hirsuta,36.5
Osmia_inermis,25.75
Osmia_iridis,48
Osmia_lignaria,26.5
Osmia_longula,28.25
Osmia_mertensiae,36
Osmia_montana_montana,29.33333333
Osmia_nigrifrons,30.33333333
Osmia_nigriventris,35.5
Osmia_paradisica,21
Osmia_pentstemonis,73
Osmia_phaceliae,24.5
Osmia_proxima,35.42
Osmia_pusilla,77
Osmia_sculleni,38
Osmia_sericea,35.42
Osmia_simillima,15.33333333
Osmia_subaustralis,19
Osmia_tersula,34.6
Osmia_thysanisca,27.5
Osmia_torchioi,38
Osmia_trevoris,48.5
Osmia_tristella,27.6
Panurginus_cressoniellus,46.25
Panurginus_ineptus,37.5
Pseudopanurgus_bakeri,57.25
Pseudopanurgus_didirupa,59.375
Stelis_foederalis,76
Stelis_subemarginata,77
