Species,Taxonomy,Nest,nesting substate,excavators/occupiers,Speciality,Sociality,Emergence_day,ITD_(mm),Overwintering_behavior,,References
Agapostemon_texanus,Halictidae,below,soil,excavator,polylectic,solitary,35,2.22,emerged_adults,,"(Gezon et al., 2015; Roberts, 1973a)"
Andrena aculeata,Andrenidae,below,soil,excavator,NA,solitary,NA,2.9,unemerged_adults,,"(Tepedino & Griswold, 1995)"
Andrena_algida,Andrenidae,below,soil,excavator,oligolectic,solitary,20.37,1.91,unemerged_adults,,"(Sheffield, Frier, & Dumesh, 2014); Wood and Roberts, 2018"
Andrena anograe,Andrenidae,below,soil,excavator,oligolectic,solitary,NA,NA,unemerged_adults,," (Stephen, Bohart, & Torchio, 1969); (Hurd, 1979)"
Andrena_birtwelli,Andrenidae,below,soil,excavator,oligolectic,solitary,51.87,2.28,unemerged_adults,,(Moldenke 1979)
Andrena_columbiana/ costillensis,Andrenidae,below,soil,excavator,oligolectic,solitary,66.28,2.18,unemerged_adults,,(Moldenke 1979)
Andrena cupreotincta,Andrenidae,below,soil,excavator,polylectic,solitary,NA,2.92,unemerged_adults,,"(Sheffield et al., 2014)"
Andrena lawrencei,Andrenidae,below,soil,excavator,polylectic,solitary,NA,2.36,unemerged_adults,,"(Hurd et al. 1980); (Sheffield et al., 2014)"
Andrena_macoupinensis,Andrenidae,below,soil,excavator,oligolectic,solitary,43.5,NA,unemerged_adults,,"(Sheffield et al., 2014)"
Andrena_mariae,Andrenidae,below,soil,excavator,oligolectic,solitary,39,2.16,unemerged_adults,,"(Graenicher, 1905); (Sheffield et al., 2014)"
Andrena_medionitens,Andrenidae,below,soil,excavator,polylectic,solitary,38,2.09,unemerged_adults,,"(LaBerge; 1977); (Sheffield et al., 2014)"
Andrena montrosensis,Andrenidae,below,soil,excavator,NA,solitary,NA,NA,unemerged_adults,,"(Packer, Genaro, & Sheffield, 2007)"
Andrena nigrocaerulea,Andrenidae,below,soil,excavator,polylectic,solitary,1.89,NA,unemerged_adults,,"(Packer et al., 2007; Sheffield et al., 2014)"
Andrena nothocalaidis,Andrenidae,below,soil,excavator,oligolectic,solitary,2.15,NA,unemerged_adults,,"(Thorp, 1969; Gezon, Wyman, Ascher, Inouye, & Irwin, 2015)"
Andrena prunorum,Andrenidae,below,soil,excavator,polylectic,solitary,2.79,NA,unemerged_adults,,"(Miliczky, 2008; Sheffield et al., 2014)"
Andrena_salicifloris,Andrenidae,below,soil,excavator,polylectic,solitary,36.8,NA,unemerged_adults,,"(LaBerge 1973, Tepedino 1982)"
Andrena_sp,Andrenidae,below,soil,excavator,NA,solitary,NA,NA,unemerged_adults,,
Andrena surda,Andrenidae,below,soil,excavator,oligolectic,solitary,2.43,NA,prepupae_pupae,,"(Sheffield et al., 2014)"
Andrena_transnigra s.l.,Andrenidae,below,soil,excavator,polylectic,solitary,29.66,3.17,unemerged_adults,,"(Sheffield et al., 2014)"
Andrena_vicina,Andrenidae,below,soil,excavator,polylectic,solitary,2.93,NA,unemerged_adults,,"(Sheffield et al., 2014; Wood and Roberts, 2018)"
Anthidium_sp,Megachilidae,above,cavity,renter,polylectic,solitary,65.5,2.84,prepupae_pupae,,"(Grigarick & Stange, 1968; Melander, 1902)"
Anthophora_terminalis,Apidae,above,cavity,excavator,polylectic,solitary,53.33,3.17,prepupae_pupae,,"(Gibbs, Ascher, Rightmyer, & Isaacs, 2017; Medler, 1964; Stephen et al., 1969)"
Anthophora_ursina,Apidae,below,soil,excavator,polylectic,solitary,20,3.62,prepupae_pupae,,"(Gezon et al., 2015; Sheffield et al., 2014)"
Ashmeadiella_sp,Megachilidae,above,cavity,renter,NA,solitary,43,1.8,prepupae_pupae,,"(P.D. Hurd Jr. & Michener, 1955)"
Atoposmia_abjecta,Megachilidae,above,constructed_cells,excavator,oligolectic,solitary,56,2.01,prepupae_pupae,,"(Gezon et al., 2015; P.D. Hurd Jr. & Michener, 1955; Parker 1975; Parker, 1977)"
Atoposmia_elongata,Megachilidae,above,constructed_cells,excavator,oligolectic,solitary,70,1.32,prepupae_pupae,,"(Gezon et al., 2015; P.D. Hurd Jr. & Michener, 1955; Parker, 1977)"
Bombus_appositus,Apidae,above_below,burrow,renter,polylectic,eusocial,31.375,3.48,emerged_adults,,"(Strange, 2010; Wright, Boyd, Bowers, & Scott, 2017)"
Bombus_balteatus,Apidae,below,burrow,renter,polylectic,eusocial,44,3.7,emerged_adults,,"(Strange, 2010; Wright et al., 2017)"
Bombus_bifarius,Apidae,above_below,burrow,renter,polylectic,eusocial,25.625,2.89,emerged_adults,,"(Gezon et al., 2015; Strange, 2010; Wright et al., 2017)"
Bombus_centralis,Apidae,above_below,burrow,renter,polylectic,eusocial,52,3.06,emerged_adults,,"(Gezon et al., 2015; Strange, 2010; Wright et al., 2017)"
Bombus_fervidus,Apidae,above_below,burrow,renter,polylectic,eusocial,29.71428571,3.48,emerged_adults,,"(Sheffield et al., 2014; Wright et al., 2017)"
Bombus_flavifrons,Apidae,above_below,burrow,renter,polylectic,eusocial,25.375,2.89,emerged_adults,,"(Gezon et al., 2015; Sheffield et al., 2014; Strange, 2010; Wright et al., 2017)"
Bombus_frigidus,Apidae,above_below,burrow,renter,polylectic,eusocial,47.83333333,3.67,emerged_adults,,"(Gezon et al., 2015; Wright et al., 2017)"
Bombus_huntii,Apidae,below,burrow,renter,polylectic,eusocial,55,3.22,emerged_adults,,"(Gezon et al., 2015; Wright et al., 2017)"
Bombus_insularis,Apidae,above_below,burrow,NA,NA,cleptoparasite,42.5,4.45,emerged_adults,,"(Gezon et al., 2015; Wright et al., 2017)"
Bombus_mixtus,Apidae,above_below,burrow,renter,polylectic,eusocial,72,3.04,emerged_adults,,"(Gezon et al., 2015; Wright et al., 2017)"
Bombus_nevadensis,Apidae,above_below,burrow,renter,polylectic,eusocial,44.33333333,5.06,emerged_adults,,"(Gezon et al., 2015; Wright et al., 2017)"
Bombus_occidentalis,Apidae,below,burrow,renter,polylectic,eusocial,57.2,3.89,emerged_adults,,"(Gezon et al., 2015; Wright et al., 2017)"
Bombus_rufocinctus,Apidae,above,burrow,renter,polylectic,eusocial,45.5,3.48,emerged_adults,,"(Gezon et al., 2015; Wright et al., 2017)"
Bombus_sylvicola,Apidae,above_below,burrow,renter,polylectic,eusocial,41,2.89,emerged_adults,,"(Gezon et al., 2015; Wright et al., 2017)"
Calliopsis_coloradensis,Andrenidae,below,soil,excavator,oligolectic,solitary,113,1.65,prepupae_pupae,,"(Miliczky, 1991; Sheffield et al., 2014)"
Calliopsis_teucrii,Andrenidae,below,soil,excavator,oligolectic,solitary,72,1.41,prepupae_pupae,,
Ceratina_neomexicana,Apidae,above,cavity,excavator,polylectic,subsocial,21,1.37,emerged_adults,," (Stephe et al., 1969; Hurd, 1979)"
Coelioxys_moesta,Megachilidae,above,cavity,NA,NA,cleptoparasite,84,2.27,prepupae_pupae,,"(Baker, 1971; OÕNeill & OÕNeill, 2009)"
Coelioxys_sodalis,Megachilidae,above,cavity,NA,NA,cleptoparasite,45,2.51,prepupae_pupae,,"(Baker, 1971; Gezon et al., 2015; OÕNeill & OÕNeill, 2009)"
Colletes_consors,Colletidae,below,soil,excavator,polylectic,solitary,36.5,2.19,prepupae_pupae,,"(Gezon et al., 2015; Sheffield et al., 2014)"
Colletes_hyalinus,Colletidae,below,soil,excavator,polylectic,solitary,64,2.19,prepupae_pupae,,"(Gezon et al., 2015; Sheffield et al., 2014)"
Colletes_kincaidii,Colletidae,below,soil,excavator,oligolectic,solitary,74,1.97,prepupae_pupae,,"(Sheffield et al., 2014; Torchio et al., 1988)"
Colletes_nigrifrons,Colletidae,below,soil,excavator,polylectic,solitary,44.6,2.04,prepupae_pupae,,"(Gezon et al., 2015; Sheffield et al., 2014)"
Colletes_paniscus,Colletidae,below,soil,excavator,oligolectic,solitary,43.5,1.64,prepupae_pupae,,"(Packer et al., 2007)"
Diadasia_diminuta,Apidae,below,soil,excavator,oligolectic,solitary,41,2.43,prepupae_pupae,,"(Eickwort, Eickwort, & Linsley, 1977; Ordway, 1987; Sipes & Tepedino, 2005)"
Dianthidium_heterulkei,Megachilidae,above,constructed_cells,renter,polylectic,solitary,75.5,2.08,prepupae_pupae,,"(Clement 1976; Packer et al., 2007)"
Dufourea_fimbriata,Halictidae,below,soil,excavator,oligolectic,solitary,84,1.18,prepupae_pupae,,"(Dumesh & Sheffield, 2012; Gezon et al., 2015)"
Dufourea_harveyi,Halictidae,below,soil,excavator,oligolectic,solitary,57.75,1.18,prepupae_pupae,,"(Dumesh & Sheffield, 2012; Gezon et al., 2015)"
Dufourea_maura,Halictidae,below,soil,excavator,oligolectic,solitary,58.66,1.73,prepupae_pupae,,"(Dumesh & Sheffield, 2012; Gezon et al., 2015)"
Dufourea_sp,Halictidae,below,soil,excavator,oligolectic,solitary,82.33,NA,prepupae_pupae,,"(Dumesh & Sheffield, 2012; Gezon et al., 2015)"
Epeolus_americanus,Apidae,below,soil,NA,NA,cleptoparasite,49,1.43,prepupae_pupae,,"(Gezon et al., 2015)"
Epeolus_compactus,Apidae,below,soil,NA,NA,cleptoparasite,77,1.87,prepupae_pupae,,"(Gezon et al., 2015; Torchio, Trostle, & Burdick, 1988)"
Epeolus_sp,Apidae,below,soil,NA,NA,cleptoparasite,77,2.18,prepupae_pupae,,"(Gezon et al., 2015)"
Eucera_fulvitarsis,Apidae,below,soil,excavator,polylectic,solitary,20,3.41,NA,,"(Gezon et al., 2015)"
Halictus_confusus,Halictidae,below,soil,excavator,polylectic,solitary,58,1.32,emerged_adults,,"(Dolphin, 1978; Eickwort, Eickwort, Gordon, & Eickwort, 1996)"
Halictus_rubicundus,Halictidae,below,soil,excavator,polylectic,solitary,23,1.87,emerged_adults,,"(Dolphin, 1978; Eickwort et al., 1996)"
Halictus_tripartitus,Halictidae,below,soil,excavator,polylectic,solitary,10,1.24,emerged_adults,,"(Dolphin, 1978; Gezon et al., 2015; Roberts, 1973b)"
